cve_entidad,desc_entidad,cve_municipio,desc_municipio,id_indicador,indicador,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,unidad_medida
1,Aguascalientes,0,Estatal,1002000039,Divorcios,445,460,480,600,658,761,780,950,980,1128,1235,1226,1191,1084,1302,1306,1427,1194,1417,1522,1351,1736,3607,3607,3542,3367,2953,3558,3252,Divorcios
1,Aguascalientes,1,Aguascalientes,1002000039,Divorcios,439,453,472,587,648,751,765,939,966,1110,1210,1200,1145,1009,1223,1220,1294,1130,1195,1265,1134,1422,2958,2945,2767,2692,2232,2667,2542,Divorcios
1,Aguascalientes,2,Asientos,1002000039,Divorcios,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Divorcios
1,Aguascalientes,3,Calvillo,1002000039,Divorcios,6,7,8,13,10,10,15,11,14,18,25,26,42,28,38,35,54,31,47,50,42,44,123,137,133,115,111,157,117,Divorcios
1,Aguascalientes,4,Cosío,1002000039,Divorcios,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Divorcios
1,Aguascalientes,5,Jesús María,1002000039,Divorcios,0,0,0,0,0,0,0,0,0,0,0,0,4,47,41,51,79,33,52,67,57,84,150,184,186,208,272,315,238,Divorcios
1,Aguascalientes,6,Pabellón de Arteaga,1002000039,Divorcios,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,78,80,140,206,191,317,208,192,270,223,Divorcios
1,Aguascalientes,7,Rincón de Romos,1002000039,Divorcios,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,62,38,46,170,150,139,144,146,149,132,Divorcios
1,Aguascalientes,8,San José de Gracia,1002000039,Divorcios,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Divorcios
1,Aguascalientes,9,Tepezalá,1002000039,Divorcios,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Divorcios
1,Aguascalientes,10,El Llano,1002000039,Divorcios,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Divorcios
1,Aguascalientes,11,San Francisco de los Romo,1002000039,Divorcios,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Divorcios
1,Aguascalientes,996,No especificado,1002000039,Divorcios,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,Divorcios
